,FileID,file_count,user_count,prod_count,no_diff_count,prod_open_max,prod_open_min,prod_open_mean,prod_open_std,interval_min,interval_max,interval_mean,interval_std
0,95ec58cbe3ad2dfccb29205a668de401,37,33,3,0,31,1,12.333333333333334,16.289055630494154,0,0,0.0,0.0
1,1f702cb1392e22a22447ba44e5e5fa68,731,731,3,0,520,23,243.66666666666666,253.13303485190022,0,0,0.0,0.0
2,3c994bdad47e09580048eaeb3e1cfe8b,682,682,3,0,494,19,227.33333333333334,242.81337140555775,0,0,0.0,0.0
3,ff3deb1a3b9c8d23faa1eb28f4ee26fd,97,83,6,0,42,1,16.166666666666668,14.702607478493965,0,0,0.0,0.0
4,fd8359996169828584ac04e735447e70,153,126,5,6,114,1,30.6,48.3663105890867,0,0,0.0,0.0
5,f07558950e61df141b54558df8cf1dba,47,38,9,0,16,1,5.222222222222222,4.8419463487779835,0,0,0.0,0.0
6,4c6e12fe7b11745b7b70e3a21fbc9d7e,32,24,3,1,21,5,10.666666666666666,8.962886439832502,0,0,0.0,0.0
7,ac92fc5fb20a08753d5a4e776e62eb8b,28,24,1,0,28,28,28.0,0.0,0,0,0.0,0.0
8,ca00a33f2745879982e53e930c94d704,929,825,9,0,399,1,103.22222222222223,151.90603820929715,0,0,0.0,0.0
9,ca9606e8a527b5af6ee1090271bb288a,128,75,8,18,58,1,16.0,19.87101262787437,0,0,0.0,0.0
10,1ea4b950d0cb72be37ee66a4e61362bc,783,598,8,114,417,4,97.875,140.94116046877758,0,0,0.0,0.0
11,db6982bd881e0a7d56e88d1538998b29,35,32,4,0,23,1,8.75,10.1447851956888,0,0,0.0,0.0
12,221bb3e63e6530b3ee9fd0b1661f1d6f,169,154,3,0,112,19,56.333333333333336,49.13586605864735,0,0,0.0,0.0
13,483d8933d83d857929f98ea51744edcb,103,94,8,7,34,1,12.875,11.063937557927298,0,0,0.0,0.0
14,1154efd4e9d81feb4b82ad83026b8d43,134,100,6,7,40,3,22.333333333333332,14.403703227526826,0,0,0.0,0.0
15,9960ac9b94088d65a8e18aec8595e4b3,571,549,7,0,264,1,81.57142857142857,105.12033920362754,0,0,0.0,0.0
16,ae26ac8e6875d81a718882ad5b3e3784,537,512,4,9,347,3,134.25,156.39133607716255,0,0,0.0,0.0
17,718a2bd5d9652729b6661e456b606ad0,506,415,9,78,369,1,56.22222222222222,120.78780751567786,0,0,0.0,0.0
18,e16769e9b71b12f783624e004f1e5921,134,128,8,0,48,2,16.75,18.537606564571846,0,0,0.0,0.0
19,23b24cfb5a25b46073d4d53f2f5629b4,26,22,6,2,12,1,4.333333333333333,4.131182235954578,0,0,0.0,0.0
20,4ad1d7b192846d6b9a918f083cf5e1dd,50,47,6,0,16,1,8.333333333333334,6.088240030309799,0,0,0.0,0.0
21,301008724b94948cbfddb84ebffe499e,425,362,7,33,299,2,60.714285714285715,108.90625064050009,0,0,0.0,0.0
22,2a6e14982f4c5f27738274a6ba2f738a,72,70,8,0,28,1,9.0,9.242757782641034,0,0,0.0,0.0
23,28258a4d47dade2bf0b4f64cb37c4d34,15,15,5,0,6,1,3.0,2.345207879911715,0,0,0.0,0.0
24,f8202b263ebeacee2c24a48e8eafe05a,308,258,7,44,227,2,44.0,83.06021911842033,0,0,0.0,0.0
25,0fad264eefc6e532d5e520447e9b8df1,7,7,4,0,4,1,1.75,1.5,0,0,0.0,0.0
26,c88e1027e3300763e4cb80f1056e073a,307,301,4,1,192,6,76.75,83.70334521391604,0,0,0.0,0.0
27,84fb73536314463a012d71717696acbc,172,158,6,7,69,5,28.666666666666668,21.407163909931338,0,0,0.0,0.0
28,a00e435420220e408070e57da7c3bc26,172,161,5,8,68,19,34.4,19.932385707686876,0,0,0.0,0.0
29,5da483c403234f7ff6a7890aa333ab11,468,442,6,4,334,2,78.0,132.524714676169,0,0,0.0,0.0
30,e2f2cb3f54375d573701953fb5f7cbfd,1837,1750,4,45,1310,1,459.25,611.3500770153437,0,0,0.0,0.0
31,a1b525c7deaeb1c7d23e3b9017f0248f,40,36,3,4,25,3,13.333333333333334,11.060440015358038,0,0,0.0,0.0
32,ee30602b0da639ff29012560cbcd25a7,135,75,4,60,121,2,33.75,58.202949524343985,0,0,0.0,0.0
33,45a7f1892a224ff7dc72e21f9b90fdb4,120,113,4,0,66,7,30.0,25.96150997149434,0,0,0.0,0.0
34,f9de58928e032702b4aaa397a26c8422,119,104,7,10,55,1,17.0,20.420577856662135,0,0,0.0,0.0
35,b09b2b828685a36bd85fcbc11a98f41e,128,119,4,0,69,8,32.0,26.720778431774775,0,0,0.0,0.0
36,9d74fa0c77a037ac369d34ea1c65d273,747,743,10,1,517,1,74.7,165.68179005417448,0,0,0.0,0.0
37,f37fe6c4b42386672dbb66380c982a6d,136,120,4,0,67,16,34.0,23.84673283002656,0,0,0.0,0.0
38,f9bd1bcbfe5eca023f2b77aefdaca219,1054,826,8,202,775,1,131.75,270.6482957640783,0,0,0.0,0.0
39,6e672ac13a1231dd4ba3190d8b13bace,92,54,8,10,26,1,11.5,9.023778112773575,0,0,0.0,0.0
40,9a411b6d31730360dfff923257098482,41,40,6,0,30,1,6.833333333333333,11.46152985716421,0,0,0.0,0.0
41,78929ba10b6642b42bea89aac955aa76,687,488,8,124,409,3,85.875,138.59234930440527,0,0,0.0,0.0
42,40a3c5a1d66fc288b2a8f1bc7efe3a54,329,329,4,0,183,3,82.25,85.57014666342462,0,0,0.0,0.0
43,6d784f47f13a24376515f68cda8b388d,231,231,4,0,135,4,57.75,61.4023615181045,0,0,0.0,0.0
44,feb70d56093cf4e9ac7f61c49793d05a,332,332,4,0,183,4,83.0,85.58426646683762,0,0,0.0,0.0
45,edb67d0c0528de340fb29a734330495e,371,316,8,30,255,1,46.375,88.29324112621208,0,0,0.0,0.0
46,ffd220220358f09d2dd16e6d87eb13b0,461,401,7,7,279,11,65.85714285714286,97.02307040326126,0,0,0.0,0.0
47,6e2038943bcd995859fcafc0bbb57f38,392,367,3,21,307,6,130.66666666666666,157.01061535238097,0,0,0.0,0.0
48,6d7e4be3c7b58deaded35396f63c0709,744,683,4,8,550,4,186.0,253.7282010340987,0,0,0.0,0.0
49,933232b4eac0295301333956cc7906d1,24,22,5,2,9,1,4.8,3.3466401061363023,0,0,0.0,0.0
50,bcf9eb4af7e70312e2ee13eb4c672e75,24,22,7,1,7,1,3.4285714285714284,2.819996622760558,0,0,0.0,0.0
51,946a1c48f25da090be7f10f369460d32,146,65,4,3,137,1,36.5,67.01989754294367,0,0,0.0,0.0
52,ea6aa1da3182ef4c4d4d90a6250a71a0,140,84,3,10,58,35,46.666666666666664,11.503622617824933,0,0,0.0,0.0
53,bcc5ad3a689af2287cd16c4ef244e82c,471,391,7,31,308,1,67.28571428571429,109.55016246103014,0,0,0.0,0.0
54,6eb251c8a65f81a3c12176d9671e961f,24,19,1,0,24,24,24.0,0.0,0,0,0.0,0.0
55,b6e5f3cc672111df917d631d351746f5,90,87,10,1,31,1,9.0,10.530379332620877,0,0,0.0,0.0
56,1291c1f33e8c4725aac30399b0ea00da,39,7,3,0,33,2,13.0,17.349351572897472,0,0,0.0,0.0
57,197ff4b998c4d4ea6af82a0e5e816b6a,142,96,7,6,79,2,20.285714285714285,26.880688766685807,0,0,0.0,0.0
58,cd1486eb65e3cf6f1b2a41d09c31fde9,100,96,8,4,38,1,12.5,14.121918121437025,0,0,0.0,0.0
59,8b262f659a1794caa6c8157b3d18e1c4,235,235,3,0,161,11,78.33333333333333,76.16648431779777,0,0,0.0,0.0
60,e6130fe65498b6a7d19ffafd227c63f9,549,478,8,49,179,1,68.625,62.20918053516814,0,0,0.0,0.0
61,09e63c2eed608331512bc1fe4ae4a9a8,231,224,8,5,127,3,28.875,41.85156593759152,0,0,0.0,0.0
62,e1c630cb7854b8a8692b0368294857fa,250,246,6,1,199,1,41.666666666666664,78.23980231740533,0,0,0.0,0.0
63,421bb724541d76fc85fd8d5ecc7c4329,50,31,3,4,22,10,16.666666666666668,6.110100926607787,0,0,0.0,0.0
64,40742fa94299ce45e250589518c7b1ed,40,6,1,0,40,40,40.0,0.0,0,0,0.0,0.0
