,FileID,file_count,user_count,prod_count,no_diff_count,prod_open_max,prod_open_min,prod_open_mean,prod_open_std
0,c2ff81c7a2ab98e7ae7c5947c7fb07ff,39,39,4,0,25,1,9.75,11.116804097101529
1,be4687e7325af5c5968385e9a9a4f772,126,90,4,1,71,5,31.5,28.077274321652617
2,4ac3d1b9624889a1b775e19062c9db96,284,235,6,4,103,3,47.333333333333336,45.828666429066715
3,d802247b22900b90d579ac1fd04816c1,285,13,1,0,285,285,285.0,0.0
4,edc371885a82b9f746cc9b70cfb3947b,277,231,4,2,112,3,69.25,47.90528850415856
5,e6a0a21356e0b793a6b34f9b01fb1de9,73,16,1,0,73,73,73.0,0.0
6,b7105c67c20de1ba2d5799d92b3d64c6,35,9,3,2,20,5,11.666666666666666,7.637626158259733
7,1ae6aeea513c71701926cb9edbda1ad2,106,97,3,2,50,22,35.333333333333336,14.047538337136986
8,9b1394b1d488286119b072c7837c3ad8,14,14,1,0,14,14,14.0,0.0
9,1f44c0fee2902b453f7a46efaaba67bf,340,58,5,15,176,4,68.0,73.37233811185249
10,803aa58fdf67754a459d546c2a7d4e8d,331,45,6,44,151,1,55.166666666666664,54.63850900845178
11,b49746f31dfcb2cb40c9920c4ed3f318,148,139,6,0,72,1,24.666666666666668,33.326665999866634
12,25b2c813704e8987b4d509e4d5f96dd5,129,89,7,0,67,1,18.428571428571427,24.323220338167552
13,2d87da5dc68bb82eb5d251ae7ff74427,86,29,2,3,56,30,43.0,18.384776310850235
14,1aeb2e07a9324a65f79c6e4fada8a676,296,275,6,5,257,1,49.333333333333336,102.12476030163627
15,21800ce1ee12c6aa77306da65f3630d3,119,119,3,0,75,14,39.666666666666664,31.628046625318696
16,5ae42f91ed8f0cdd37f10c3183f3abd0,118,98,3,18,101,2,39.333333333333336,53.79900866496829
17,5e96384d0475d7dcd8aae251d7ebea85,488,415,6,66,213,1,81.33333333333333,88.06966939115117
18,e31e31e7d75529625dc075543970616e,484,412,5,67,214,1,96.8,87.82197902575413
19,0c23389aac371e90ad39ea07ab934d0a,84,6,1,1,84,84,84.0,0.0
20,263df1767b6abdf63285e1d0c044352f,763,440,6,311,424,1,127.16666666666667,164.17115053098297
21,6c620f591abe7494c360fb932f82bcf3,1713,397,6,1264,753,2,285.5,324.0257705800574
22,e1fb80303017ea0e46c0bb1aefc0b05a,71,71,4,0,32,2,17.75,12.816005617976296
23,b89b96264b83c1a60d731076ae99e4aa,129,96,5,0,71,3,25.8,27.398905087612533
24,70a565d6c1a5030e0e01c93943e086c8,163,103,4,1,125,1,40.75,57.412977627013916
25,8e5167c2a35fdf156f1beab61a80866a,28,28,4,0,22,1,7.0,10.03327796219494
26,612b1bc2c2aa432072ec5fa910922e7a,178,4,1,1,178,178,178.0,0.0
27,3e6f75db209f8ce0a892d2f0f2273868,725,8,1,0,725,725,725.0,0.0
28,b591ae598deb242959e6b38673596f8d,167,105,8,0,59,1,20.875,21.236340147425185
29,2b603452b7e430891d1f6cc5487d8926,576,488,3,74,415,37,192.0,197.96211758818907
30,9dd75173356028f745e6894af4e0df98,576,574,4,0,441,1,144.0,203.6238361947507
31,d14eefdaddfce08a3dd30e12c7b28bc5,552,550,4,0,422,1,138.0,194.9478562761506
32,d73ea2e6831c213b79328469df96c7dc,553,551,4,0,422,1,138.25,194.74834188425498
33,dacdc135b9982bf83b8c5d8e375193a5,546,544,4,0,418,1,136.5,193.25716890540784
34,0d63ed2a373efe43fd4b0d4dd41be92b,1252,1225,4,1,937,1,313.0,438.72618643826894
35,225cc2d77da7deb6f1658c8046a000f1,544,542,4,0,417,1,136.0,192.82288937433404
36,4bf3c5e560e690aa127a834a5a7faa38,328,328,4,0,263,1,82.0,122.86849338486522
37,5d2ed776cb475a8a9e36b7a49ba65622,329,329,4,0,264,1,82.25,123.35956928156541
38,e9f3a004a947706dcd7b9dedeb0dcb04,430,430,3,0,260,9,143.33333333333334,126.42916330235414
39,bbb5c4c48b820f10aa491826edb819bf,84,67,6,1,27,1,14.0,10.276186062932103
40,e6040e6bee847ef652b156455891a8e5,8,6,3,0,4,1,2.6666666666666665,1.5275252316519468
41,e1f6299f0dc1174a718374ef0b701933,73,73,6,0,26,2,12.166666666666666,9.08662020041922
42,020102cb5b2cbde3f639d9ba7e15c9f3,138,120,6,6,86,2,23.0,31.79308100829487
43,9803e025439a58123dbf21f8943212ce,44,31,3,0,27,5,14.666666666666666,11.239810200058244
44,f65210afaf35439dde4bef7b54504fdb,23,1,1,0,23,23,23.0,0.0
45,46d6c731926876785cf14799de27aecf,180,180,3,0,102,9,60.0,47.148700936505136
46,c6016cf2adfd374b67b613a30f0eb928,202,32,5,46,112,1,40.4,42.62980178232125
47,89ce7241593b3e00fae0ef99e1280fe2,15,15,1,0,15,15,15.0,0.0
48,b1f5bb6eacca38a8df58e128e3dcd304,48,12,3,1,29,5,16.0,12.12435565298214
49,d487a44a67e394e49ef0ac25625a183f,22,22,4,0,14,2,5.5,5.686240703077327
50,447de07e72234b9d35a7c6321dbe6133,53,32,8,0,20,1,6.625,6.843923269169936
51,08e2697b181a6d975b0a56194f379265,17,13,3,1,8,2,5.666666666666667,3.2145502536643185
52,e96df353c3c194a6399cffb52428cf45,33,28,4,2,16,4,8.25,5.439056290693573
53,efd1f51f4d4cb25af13de70e73b2ec5e,125,103,6,3,54,1,20.833333333333332,22.21185869455023
54,74a8f1ffa2883ba768106e40f0cc7d3a,35,13,3,10,25,2,11.666666666666666,11.930353445448855
55,7775e4a42f6747714a358313fa5c7d0d,26,16,3,0,12,3,8.666666666666666,4.932882862316248
56,7f1acad3550113d7e6b39237dd197592,82,27,4,8,33,5,20.5,14.153915830374764
57,0ae952e4a8dec0d6532ea867b9a70c5b,177,169,6,0,56,1,29.5,26.74883175019051
58,256636eee372776844c10087780bdbd1,18,7,4,0,11,1,4.5,4.509249752822894
59,b97f274406b0b02f7c06f028c20f3d34,111,70,5,0,53,5,22.2,21.347130954767668
60,306b95031fba3c452adcf6308b6d8e27,59,39,6,2,19,1,9.833333333333334,7.386925386564202
61,f2a46986e985fc26022b312dcb356412,304,285,7,4,248,1,43.42857142857143,90.96493306554481
62,13433d36efd5e94d30c87244fab9a991,30,5,2,3,22,8,15.0,9.899494936611665
63,87dd35aaead80268e13c3b6fb6b167f6,8,5,3,0,4,1,2.6666666666666665,1.5275252316519468
64,35365a8c4174fbd803e72321ef0307e9,7,6,3,0,4,1,2.3333333333333335,1.5275252316519465
65,93947c36063a5e5ff68d1d08f5b9d409,93,36,4,2,51,1,23.25,21.140403654298247
66,f889b496b6908327c813dbbd04f989e3,8,7,2,0,6,2,4.0,2.8284271247461903
67,095b1b61b3c122a8dbcdcbb39e2a2f39,202,197,3,5,102,25,67.33333333333333,39.068316233660916
68,dd10dbf8a0d77e122b2c6b2b072c2cd0,168,97,6,2,59,6,28.0,21.95449840010015
69,d2befcf8d65a0c9f4f687c9c46904305,69,51,4,4,54,1,17.25,24.78406746278746
70,2f290f64a5706a53206a90d40734d029,5,4,2,1,3,2,2.5,0.7071067811865476
71,9817b00b41c68686d7d5a637231de04e,54,54,3,0,24,12,18.0,6.0
72,f4efffaa241624bbcacfefb70d3954a0,184,155,4,0,126,2,46.0,55.904680781964345
73,b0d4c8ebd6ee3664a9a7e17c63eb7660,61,59,4,0,28,6,15.25,11.05667219374799
74,ed74165d18cb72bd2953d711e1425e62,31,6,4,1,15,1,7.75,5.852349955359812
75,65b95c676552e78dd091be66a9c5f399,110,99,5,10,62,1,22.0,25.71964229922337
76,1afc9cad5486d134383976668ced6a3c,48,45,7,2,25,1,6.857142857142857,8.571825387640049
77,bca9999cf427042e48227ffd68895750,107,84,1,0,107,107,107.0,0.0
78,1b4ad1f3e1457bd6c3ba4d074e892005,8,5,2,0,4,4,4.0,0.0
79,6c203b6da207dcc44a97a0b909a33749,126,114,6,0,46,1,21.0,20.27806696901852
80,d915364e39ff2c60e2cfd55854ea807c,4,4,1,0,4,4,4.0,0.0
81,390f344a5ca5207ffdd3a48912083f6f,6,1,1,0,6,6,6.0,0.0
82,9be48774ac57eba5010476ddf01ea305,58,20,5,6,22,2,11.6,7.893034904268446
83,03620d2ebb19b9f2edfdf642ef8f19cb,614,542,4,61,422,1,153.5,195.27843369575317
84,dd62e72db8ba55ce242034aa82aef808,8,5,2,0,4,4,4.0,0.0
85,05dbc846dac4712f54490c7f69bce5f2,13,9,5,1,5,1,2.6,1.816590212458495
86,325d4310e30d4de02f3acdd4f83d85a3,24,20,6,2,10,1,4.0,3.1622776601683795
87,c696e7d9b0efde8926b60af1a162a24b,61,39,4,1,26,3,15.25,9.569918146637061
88,791661d64f9ab372028806202d500397,67,38,4,1,28,2,16.75,10.812801055539063
89,8679067883570fd24fc2c10ccee99f0b,15,9,5,1,9,1,3.0,3.4641016151377544
90,87d62bd6bc8295a0b6d10d76a88d54be,13,9,2,0,12,1,6.5,7.7781745930520225
91,0f2c7b8018d91392f989a3a8606b3399,218,204,6,0,104,3,36.333333333333336,44.36064321745872
92,5c4f554b8cacacf8a56930619b1b368e,23,23,3,0,11,5,7.666666666666667,3.0550504633038935
93,178ef4737443e39afc4c7bd3eca8f643,1,1,1,0,1,1,1.0,0.0
94,84ef9fd483f560d9b0ffe42287d14c34,681,538,10,115,267,1,68.1,93.42549021665458
95,f294ec8cfdef590483b0059a8b6d9bcf,63,43,4,17,47,2,15.75,21.219095173922945
96,5421931a90299ce644cfc1b591ee57c4,33,31,6,2,20,1,5.5,7.259476565152615
97,707739ae533478ae0f0668b82f616c6b,2185,2171,9,9,2019,1,242.77777777777777,666.893690511797
98,08a97e4a1ea33eef93d72e3b22c73883,123,120,6,1,68,1,20.5,26.33438816452738
99,6757eae0c48577ba7ae45c385b890cdf,360,274,7,20,159,9,51.42857142857143,56.266796434063856
100,ec39b6577000d9439a3bdc37a08477ec,36,34,6,2,22,1,6.0,8.049844718999243
